Diameter (in),Diameter (mm),Drill size
0.8281,21.0344,53/64 in
0.8438,21.4313,27/32 in
0.8465,21.5,21.5 mm
0.8594,21.8281,55/64 in
0.8661,22,22 mm
0.875,22.225,7/8 in
0.8858,22.5,22.5 mm
0.8906,22.6219,57/64 in
0.9055,23,23 mm
0.9063,23.0188,29/32 in
0.913,23.1913,21/23 in
0.9219,23.4156,59/64 in
0.9252,23.5,23.5 mm
0.9375,23.8125,15/16 in
0.9449,24,24 mm
0.9531,24.2094,61/64 in
0.9646,24.5,24.5 mm
0.9688,24.6063,31/32 in
0.9843,25,25 mm
0.9844,25.0031,63/64 in
1,25.4,1 in
1.0039,25.5,25.5 mm
1.0156,25.7969,1 1/64 in
1.0236,26,26 mm
1.0313,26.1938,1 1/32 in
1.0433,26.5,26.5 mm
1.0469,26.5906,1 3/64 in
1.0625,26.9875,1 1/16 in
1.063,27,27 mm
1.0781,27.3844,1 5/64 in
1.0827,27.5,27.5 mm
1.0938,27.7813,1 3/32 in
1.1024,28,28 mm
1.1094,28.1781,1 7/64 in
1.1221,28.5,28.5 mm
1.125,28.575,1 1/8 in
1.1406,28.9719,1 9/64 in
1.1417,29,29 mm
1.1563,29.3688,1 5/32 in
1.1614,29.5,29.5 mm
1.1719,29.7656,1 11/64 in
1.1811,30,30 mm
1.1875,30.1625,1 3/16 in
1.2008,30.5,30.5 mm
1.2031,30.5594,1 13/64 in
1.2188,30.9563,1 7/32 in
1.2205,31,31 mm
1.2344,31.3531,1 15/64 in
1.2402,31.5,31.5 mm
1.25,31.75,1 1/4 in
1.2598,32,32 mm
1.2656,32.1469,1 17/64 in
1.2795,32.5,32.5 mm
1.2813,32.5438,1 9/32 in
1.2969,32.9406,1 19/64 in
1.2992,33,33 mm
1.3125,33.3375,1 5/16 in
1.3189,33.5,33.5 mm
1.3281,33.7344,1 21/64 in
1.3386,34,34 mm
1.3438,34.1313,1 11/32 in
1.3583,34.5,34.5 mm
1.3594,34.5281,1 23/64 in
1.375,34.925,1 3/8 in
1.378,35,35 mm
1.3906,35.3219,1 25/64 in
1.3976,35.5,35.5 mm
1.4063,35.7188,1 13/32 in
1.4173,36,36 mm
1.4219,36.1156,1 27/64 in
1.437,36.5,36.5 mm
1.4375,36.5125,1 7/16 in
1.4531,36.9094,1 29/64 in
1.4567,37,37 mm
1.4688,37.3063,1 15/32 in
1.4764,37.5,37.5 mm
1.4844,37.7031,1 31/64 in
1.4961,38,38 mm
1.5,38.1,1 1/2 in
